Month,Trial ID,Drug / therapy,Short description,Company sponsor,Primary completion date,Phases,Study URL,Brief title,Press release check status,Checked against cutoff,Matched title,Matched source,Matched link,Matched publication date,Matched source type
January,NCT06142552,FRSW117,Investigational therapy being studied to treat Severe Hemophilia A.,Jiangsu Gensciences lnc.,2026-01-15,PHASE3,https://clinicaltrials.gov/study/NCT06142552,Phase 3 Clinical Project of Pegylated Recombinant Human Coagulation Factor VIII-Fc Fusion Protein,no_match_found,yes,,,,,
January,NCT04250922,LAM561 + RT + TMZ,Combination regimen being studied to treat Primary Glioblastoma and Glioblastoma Multiforme.,Laminar Pharmaceuticals,2026-01-15,PHASE2|PHASE3,https://clinicaltrials.gov/study/NCT04250922,LAM561 With RT and TMZ for Adults With Glioblastoma,no_match_found,yes,,,,,
January,NCT05668988,Pemetrexed+carboplatin + sunvozertinib,Combination regimen being studied to treat Non small Cell Lung Cancer.,Dizal Pharmaceuticals,2026-01-16,PHASE3,https://clinicaltrials.gov/study/NCT05668988,A Study of DZD9008 Versus Platinum-Based Doublet Chemotherapy in Local Advanced or Metastatic Non-small Cell Lung Cancer (WU-KONG28),no_match_found,yes,,,,,
January,NCT04793958,Cetuximab + FOLFIRI Regimen + MRTX849 (+1 more),Combination regimen being studied to treat Advanced Colorectal Cancer and Metastatic Colorectal Cancer.,Mirati Therapeutics Inc.,2026-01-16,PHASE3,https://clinicaltrials.gov/study/NCT04793958,Phase 3 Study of MRTX849 With Cetuximab vs Chemotherapy in Patients With Advanced Colorectal Cancer With KRAS G12C Mutation (KRYSTAL-10),no_match_found,yes,,,,,
January,NCT04549116,Progesterone Vaginal Gel with Applicator + Progesterone-IBSA Injectable Solution,Combination regimen being studied to treat Infertility.,IBSA Institut Biochimique SA,2026-01-20,PHASE3,https://clinicaltrials.gov/study/NCT04549116,Subcutaneous Progesterone in Frozen- Thawed Single Euploid Blastocyst Transfer.,no_match_found,yes,,,,,
January,NCT04210115,5-FU + cisplatin + leucovorin (+4 more),"Combination regimen being studied to treat Esophageal Squamous Cell Carcinoma (ESCC), Gastroesophageal Junction Carcinoma (GEJC), and related conditions.",Merck Sharp & Dohme LLC,2026-01-21,PHASE3,https://clinicaltrials.gov/study/NCT04210115,Study of Pembrolizumab (MK-3475) Versus Placebo in Participants With Esophageal Carcinoma Who Are Receiving Chemotherapy and Radiation Therapy (MK-3475-975/KEYNOTE-975),no_match_found,yes,,,,,
January,NCT06611163,Tildrakizumab 100 mg,Investigational therapy being studied to treat Moderate to Severe Genital Psoriasis.,Sun Pharmaceutical Industries Limited,2026-01-21,PHASE3,https://clinicaltrials.gov/study/NCT06611163,A Study to Evaluate the Efficacy and Safety of Subcutaneous Tildrakizumab in Subjects With Moderate to Severe Genital Psoriasis.,no_match_found,yes,Almirall’s Ilumetri® (tildrakizumab) Restores and Maintains Wellbeing of Patients With Moderate-to-severe Plaque Psoriasis to the Levels of the General Population for up to ...,Business Wire,https://www.businesswire.com/news/home/20240628033294/en/Almirall%E2%80%99s-Ilumetri%C2%AE-tildrakizumab-Restores-and-Maintains-Wellbeing-of-Patients-With-Moderate-to-severe-Plaque-Psoriasis-to-the-Levels-of-the-General-Population-for-up-to-1-Year1,"Thu, 26 Jun 2025 17:00:00 GMT",press_release_wire
January,NCT05910450,Clascoterone 5% solution,"Investigational therapy being studied to treat Alopecia, Androgenetic.",Cassiopea SpA,2026-01-26,PHASE3,https://clinicaltrials.gov/study/NCT05910450,A Study to Evaluate the Efficacy and Safety of Clascoterone Solution in Treatment of Male Pattern Hair Loss,result_news_found_but_not_press_release,yes,Cosmo shares zoom with results from 2 male-pattern hair loss trials,FiercePharma,https://www.fiercepharma.com/pharma/cosmo-shares-zoom-results-2-male-pattern-hair-loss-trials,"Wed, 03 Dec 2025 03:42:00 GMT",media
January,NCT03924856,Cisplatin + Gemcitabine + Pembrolizumab (+1 more),Combination regimen being studied to treat Bladder Cancer.,Merck Sharp & Dohme LLC,2026-01-26,PHASE3,https://clinicaltrials.gov/study/NCT03924856,Perioperative Pembrolizumab (MK-3475) Plus Neoadjuvant Chemotherapy Versus Perioperative Placebo Plus Neoadjuvant Chemotherapy for Cisplatin-eligible Muscle-invasive Bladder Cancer (MIBC) (MK-3475-866/KEYNOTE-866),result_news_found_but_not_press_release,yes,"Merck, Pfizer-Backed Therapy Improves Outcomes For Cisplatin-Ineligible Bladder Cancer Patients",AOL,https://www.aol.com/finance/merck-pfizer-backed-therapy-improves-164659947.html,"Tue, 12 Aug 2025 05:46:00 GMT",media
January,NCT04586010,Fenebrutinib + Teriflunomide,Combination regimen being studied to treat Relapsing Multiple Sclerosis.,Hoffmann-La Roche,2026-01-27,PHASE3,https://clinicaltrials.gov/study/NCT04586010,A Study to Evaluate the Efficacy and Safety of Fenebrutinib Compared With Teriflunomide in Relapsing Multiple Sclerosis (RMS),result_news_found_but_not_press_release,yes,F. Hoffmann-La Roche Ltd: Roche's fenebrutinib significantly reduced relapses versus standard of care to approximately one every 17 years in RMS,Finanznachrichten,https://www.finanznachrichten.de/nachrichten-2026-04/68261051-f-hoffmann-la-roche-ltd-roche-s-fenebrutinib-significantly-reduced-relapses-versus-standard-of-care-to-approximately-one-every-17-years-in-rms-399.htm,"Tue, 21 Apr 2026 18:22:00 GMT",media
January,NCT06839664,HS-20094 injection,Investigational therapy being studied to treat Overweight and Obesity.,"Jiangsu Hansoh Pharmaceutical Co., Ltd.",2026-01-27,PHASE3,https://clinicaltrials.gov/study/NCT06839664,A Study of HS-20094 in Chinese Adults with Overweight or Obesity,no_match_found,yes,Regeneron pens $2B pact for Hansoh's potential obesity rival to Lilly's Zepbound,FierceBiotech,https://www.fiercebiotech.com/biotech/regeneron-pens-2b-pact-hansohs-potential-rival-zepbound,"Mon, 02 Jun 2025 01:19:00 GMT",media
January,NCT05489289,AK104,Investigational therapy being studied to treat Hepatocellular Carcinoma.,Akeso,2026-01-28,PHASE3,https://clinicaltrials.gov/study/NCT05489289,A Phase III Study of AK104 as Adjuvant Therapy in HCC With High Risk of Recurrence After Curative Resection,result_news_found_but_not_press_release,yes,AK104 with concurrent radiotherapy shows efficacy in locally advanced cervical cancer,Healio,https://www.healio.com/news/hematology-oncology/20250319/ak104-with-concurrent-radiotherapy-shows-efficacy-in-locally-advanced-cervical-cancer,"Thu, 20 Mar 2025 02:02:00 GMT",media
January,NCT06869785,Ofatumumab approved dose + Ofatumumab new dose,Combination regimen being studied to treat Relapsing Multiple Sclerosis (RMS).,Novartis Pharmaceuticals,2026-01-28,PHASE3,https://clinicaltrials.gov/study/NCT06869785,"Pharmacokinetics, Pharmacodynamics, Safety and Tolerability of a New Maintenance Dosing Regimen of Ofatumumab",no_match_found,yes,,,,,
January,NCT06365879,CMAB007 + Xolair,Combination regimen being studied to treat Chronic Spontaneous Urticaria.,"Taizhou Mabtech Pharmaceutical Co.,Ltd",2026-01-29,PHASE3,https://clinicaltrials.gov/study/NCT06365879,To Compare Efficacy and Safety of CMAB007 and Xolair® in Patients With Chronic Spontaneous Urticaria,no_match_found,yes,,,,,
January,NCT05851014,GB491 combined with Letrozole,Investigational therapy being studied to treat Breast Cancer.,"Genor Biopharma Co., Ltd.",2026-01-30,PHASE3,https://clinicaltrials.gov/study/NCT05851014,A Study of GB491 in Combination With Letrozole in Patients With HR Positive and HER2 Negative Advanced Breast Cancer,no_match_found,yes,,,,,
January,NCT04546009,Giredestrant + LHRH Agonist + Letrozole (+1 more),"Combination regimen being studied to treat Estrogen Receptor Positive, HER2 Negative Locally Advanced or Metastatic Breast Cancer.",Hoffmann-La Roche,2026-01-30,PHASE3,https://clinicaltrials.gov/study/NCT04546009,"A Study Evaluating the Efficacy and Safety of Giredestrant Combined With Palbociclib Compared With Letrozole Combined With Palbociclib in Participants With Estrogen Receptor-Positive, HER2-Negative Locally Advanced or Metastatic Breast Cancer (persevERA Breast Cancer)",result_news_found_but_not_press_release,yes,Positive phase III results show Roche’s giredestrant significantly improved progression-free survival in ER-positive advanced breast cancer,Yahoo Finance,https://finance.yahoo.com/news/positive-phase-iii-results-show-050000527.html,"Sun, 21 Sep 2025 16:59:00 GMT",media
January,NCT07357051,JKN2301 Dry Suspension + Oseltamivir,Combination regimen being studied to treat Respiratory Viral Infection.,"Joincare Pharmaceutical Group Industry Co., Ltd",2026-01-31,PHASE3,https://clinicaltrials.gov/study/NCT07357051,"Phase III Clinical Study Evaluating the Safety, Pharmacokinetics, and Efficacy of JKN2301 Dry Suspension in Pediatric Patients Aged 2 to Under 12 Years With Influenza",no_match_found,yes,,,,,
January,NCT04283227,OTL-200,Investigational therapy being studied to treat Lysosomal Storage Diseases and Metachromatic Leukodystrophy.,Orchard Therapeutics,2026-01-31,PHASE3,https://clinicaltrials.gov/study/NCT04283227,OTL-200 in Patients With Late Juvenile Metachromatic Leukodystrophy (MLD),no_match_found,yes,,,,,
January,NCT06805513,Tadalafil 5 mg tablets with a digital tool.,Investigational therapy being studied to treat Erectile Dysfunction.,Sanofi,2026-01-31,PHASE3,https://clinicaltrials.gov/study/NCT06805513,Actual Use Trial of Tadalafil 5 mg,no_match_found,yes,,,,,
January,NCT05983575,LIPUS-Brain,"Investigational therapy being studied to treat Alzheimer Disease, Early Onset.","Sound Wave Innovation CO., LTD.",2026-01-31,PHASE3,https://clinicaltrials.gov/study/NCT05983575,A Pivotal Study of LIPUS-Brain in Patients With Early Alzheimer's Disease,no_match_found,yes,,,,,
January,NCT07167550,Dimephosphon®,"Investigational therapy being studied to treat Stroke, Acute Stroke, and related conditions.","Tatchempharmpreparaty, JSC",2026-01-31,PHASE3,https://clinicaltrials.gov/study/NCT07167550,The Study of Efficacy and Safety of Dimephosphon® in Acute Ischemic Stroke,no_match_found,yes,,,,,
January,NCT03219307,NOVOCART 3D,Investigational therapy being studied to treat Articular Cartilage Defect.,"Aesculap Biologics, LLC",2026-01,PHASE3,https://clinicaltrials.gov/study/NCT03219307,NOVOCART 3D Treatment Following Microfracture Failure,no_match_found,yes,,,,,
January,NCT04853342,Drug: Furmonertinib 80 mg,Investigational therapy being studied to treat Non small Cell Lung Carcinoma.,"Allist Pharmaceuticals, Inc.",2026-01,PHASE3,https://clinicaltrials.gov/study/NCT04853342,"To Assess the Efficacy and Safety of Furmonertinib Versus Placebo, in Patients With Epidermal Growth Factor Receptor Mutation Positive Stage II-IIIA Non-small Cell Lung Carcinoma, Following Complete Tumour Resection With or Without Adjuvant Chemotherapy",result_news_found_but_not_press_release,yes,Revolution Medicines soars on phase 3 trial results. Is it too late to buy?,MSN,https://www.msn.com/en-us/money/top-stocks/revolution-medicines-soars-on-phase-3-trial-results-is-it-too-late-to-buy/ar-AA20NgYC,"Mon, 13 Apr 2026 14:01:00 GMT",media
January,NCT06558279,Efgartigimod PH20 SC,"Investigational therapy being studied to treat Myasthenia Gravis, Ocular.",argenx,2026-01,PHASE3,https://clinicaltrials.gov/study/NCT06558279,A Study to Assess Efficacy and Safety of Efgartigimod PH20 SC in Adults With Ocular Myasthenia Gravis,no_match_found,yes,argenx Provides Update on UplighTED Studies of Efgartigimod SC in Thyroid Eye Disease,Nasdaq,https://www.nasdaq.com/press-release/argenx-provides-update-uplighted-studies-efgartigimod-sc-thyroid-eye-disease-2025-12,"Sun, 14 Dec 2025 22:00:00 GMT",media
January,NCT05297448,Rifaximin SSD,Investigational therapy being studied to treat Hepatic Encephalopathy.,"Bausch Health Americas, Inc.",2026-01,PHASE3,https://clinicaltrials.gov/study/NCT05297448,Evaluation of Rifaximin SSD for Delaying Encephalopathy Decompensation in Patients With Cirrhosis,result_news_found_but_not_press_release,yes,Bausch Health’s RED-C phase 3 clinical programme of amorphous-rifaximin SSD in adults with liver cirrhosis for primary prevention of HE fails to meet primary endpoint,Pharmabiz,https://www.pharmabiz.com/NewsDetails.aspx?aid=183783&sid=2,"Tue, 27 Jan 2026 09:00:00 GMT",media
January,NCT06857370,"Diphtheria, Tetanus and Acellular Pertussis (Three Components) Combined Vaccine, Adsorbed (DTcP Lot 1) + Diphtheria, Tetanus and Acellular Pertussis (Three Components) Combined Vaccine, Adsorbed (DTcP Lot 2) + Diphtheria, Tetanus and Acellular Pertussis (Three Components) Combined Vaccine, Adsorbed (DTcP Lot 3)","Investigational preventive therapy being studied to help protect against Diphtheria, Tetanus and Acellular Pertussis.",CanSino Biologics Inc.,2026-01,PHASE3,https://clinicaltrials.gov/study/NCT06857370,Inter-lot Consistency Clinical Trial of Adsorbed Cell-free DTP (Three-component) Combined Vaccine,no_match_found,yes,Diphtheria Tetanus Pertussis (DTP) Vaccine Market Driven by Rising Immunization Programs and Advancements in Healthcare Infrastructure - Market Research Intellect,Finanznachrichten,https://www.finanznachrichten.de/nachrichten-2025-09/66440920-diphtheria-tetanus-pertussis-dtp-vaccine-market-driven-by-rising-immunization-programs-and-advancements-in-healthcare-infrastructure-market-resear-008.htm,"Mon, 15 Sep 2025 12:00:00 GMT",media
January,NCT05901935,Capecitabine tablets + DP303c + Trastuzumab (+1 more),Combination regimen being studied to treat HER2 positive Advanced Breast Cancer.,"CSPC ZhongQi Pharmaceutical Technology Co., Ltd.",2026-01,PHASE3,https://clinicaltrials.gov/study/NCT05901935,DP303c in Patients With HER2-positive Advanced Breast Cancer,no_match_found,yes,Metronomic Capecitabine and an AI Improve Survival in HR+/HER2– Metastatic Breast Cancer,Cure Today,https://www.curetoday.com/view/metronomic-capecitabine-and-an-ai-improve-survival-in-hr-her2-metastatic-breast-cancer,"Wed, 26 Feb 2025 16:00:00 GMT",media
January,NCT04891237,"10,000 MG01 + 10,000 T517 + 30,000 MG01 + 10,000 T517","Combination regimen being studied to treat Rhinitis, Allergic, Rhinoconjunctivitis, and related conditions.",Inmunotek S.L.,2026-01,PHASE3,https://clinicaltrials.gov/study/NCT04891237,Efficacy and Safety Evaluation for the Treatment of Allergy Against Grass and Olive Pollen,no_match_found,yes,,,,,
January,NCT06046820,INZ-701,"Investigational therapy being studied to treat Ectonucleotide Pyrophosphatase/Phosphodiesterase1 Deficiency, Autosomal Recessive Hypophosphatemic Rickets, and related conditions.",Inozyme Pharma,2026-01,PHASE3,https://clinicaltrials.gov/study/NCT06046820,The ENERGY 3 Study: Evaluation of Efficacy and Safety of INZ-701 in Children With ENPP1 Deficiency,no_match_found,yes,Inozyme Reports Positive Interim Data From Phase Ib Study Of INZ-701 In ENPP1 Deficiency,Nasdaq,https://www.nasdaq.com/articles/inozyme-reports-positive-interim-data-phase-ib-study-inz-701-enpp1-deficiency,"Thu, 09 Jan 2025 16:00:00 GMT",media
January,NCT05673902,RPH-104,Investigational preventive therapy being studied to help protect against Idiopathic Recurrent Pericarditis.,"R-Pharm International, LLC",2026-01,PHASE3,https://clinicaltrials.gov/study/NCT05673902,Study of the Safety and Efficacy of RPH-104 in Preventing Recurrences in Patients With Idiopathic Recurrent Pericarditis,no_match_found,yes,,,,,
January,NCT05696717,Ampreloxetine,Investigational therapy being studied to treat Symptomatic Neurogenic Orthostatic Hypotension and MSA - Multiple System Atrophy.,Theravance Biopharma,2026-01,PHASE3,https://clinicaltrials.gov/study/NCT05696717,Phase 3 Efficacy and Durability of Ampreloxetine for the Treatment of Symptomatic nOH in Participants With Multiple System Atrophy,no_match_found,yes,Theravance Biopharma completes enrollment in pivotal phase 3 CYPRESS study of ampreloxetine in patients with symptomatic nOH due to MSA,Pharmabiz,https://www.pharmabiz.com/ArticleDetails.aspx?aid=180899&sid=2,"Tue, 26 Aug 2025 11:00:00 GMT",media
February,NCT06974084,"Atorvastatin, 10mg, 20mg, 40mg + Maraviroc (MVC)",Combination regimen being studied to treat Long COVID.,"HealthBio, Inc.",2026-02-01,PHASE2|PHASE3,https://clinicaltrials.gov/study/NCT06974084,"Investigating Measurable PRO Acuity Trial (IMPACT) is a Multi-Center Randomized, Double-Blind, Placebo-Controlled Study to Evaluate the Efficacy of Maraviroc and Atorvastatin to Improve Neurocognitive and Physical Function of Subjects With Long COVID-19/Post-Acute Sequelae of COVID-19 (PASC).",no_match_found,yes,,,,,
February,NCT06202989,Multiprofen-CC™ plus standard treatment,Investigational therapy being studied to treat Postsurgical Pain.,KAZM Pharmaceuticals Inc.,2026-02-01,PHASE3,https://clinicaltrials.gov/study/NCT06202989,Multiprofen-CC™ to Reduce Pain After Total Knee Arthroplasty,no_match_found,yes,,,,,
February,NCT04586231,Belzutifan + Cabozantinib + Lenvatinib,"Combination regimen being studied to treat Carcinoma, Renal Cell.",Merck Sharp & Dohme LLC,2026-02-02,PHASE3,https://clinicaltrials.gov/study/NCT04586231,A Study of Belzutifan (MK-6482) in Combination With Lenvatinib Versus Cabozantinib for Treatment of Renal Cell Carcinoma (MK-6482-011),result_news_found_but_not_press_release,yes,Merck Announces KEYTRUDA® (pembrolizumab) Plus WELIREG® (belzutifan) Met Primary Endpoint of Disease-Free Survival (DFS) in Certain Patients With Clear Cell Renal Cell ...,Yahoo Finance,https://uk.finance.yahoo.com/news/merck-announces-keytruda-pembrolizumab-plus-104500602.html,"Mon, 27 Oct 2025 17:00:00 GMT",media
February,NCT04624659,Etavopivat Tablets + Etavopivat Tablets High dose + Etavopivat Tablets Low dose,Combination regimen being studied to treat Sickle Cell Disease.,"Forma Therapeutics, Inc.",2026-02-06,PHASE3,https://clinicaltrials.gov/study/NCT04624659,A Study of Etavopivat in Adults and Adolescents With Sickle Cell Disease (HIBISCUS),result_news_found_but_not_press_release,yes,"Novo Nordisk: Etavopivat is the first in a new class of drugs to meet both co-primary endpoints in the phase 3 HIBISCUS trial, substantially reducing vaso-occlusive crisis ...",manilatimes,https://www.manilatimes.net/2026/04/20/tmt-newswire/globenewswire/novo-nordisk-etavopivat-is-the-first-in-a-new-class-of-drugs-to-meet-both-co-primary-endpoints-in-the-phase-3-hibiscus-trial-substantially-reducing-vaso-occlusive-crisis-events-and-improving-haemoglobin-response-in-sickle-cell-disease/2323730,"Sun, 19 Apr 2026 17:01:00 GMT",media
February,NCT06624228,Bimekizumab + Risankizumab,Combination regimen being studied to treat Psoriatic Arthritis.,UCB Biopharma SRL,2026-02-06,PHASE3,https://clinicaltrials.gov/study/NCT06624228,A Study to Evaluate the Efficacy and Safety of Bimekizumab in Adult Study Participants With Active Psoriatic Arthritis,result_news_found_but_not_press_release,yes,UCB reports superiority of bimekizumab in psoriatic arthritis study,PharmaTimes,https://pharmatimes.com/news/ucb-reports-superiority-of-bimekizumab-in-psoriatic-arthritis-study/,"Tue, 10 Mar 2026 17:00:00 GMT",media
February,NCT06767748,GZR4 + insulin degludec,Combination regimen being studied to treat Diabetes.,Gan & Lee Pharmaceuticals.,2026-02-07,PHASE3,https://clinicaltrials.gov/study/NCT06767748,A Phase III Clinical Study to Assess the Efficacy and Safety of GZR4 in Subjects With Type 2 Diabetes Mellitus Treated With Basal Insulin,no_match_found,yes,,,,,
February,NCT06634420,NTLA-2002 + Normal Saline IV Administration,Combination regimen being studied to treat Hereditary Angioedema.,Intellia Therapeutics,2026-02-10,PHASE3,https://clinicaltrials.gov/study/NCT06634420,HAELO: A Phase 3 Study to Evaluate NTLA-2002 in Participants With Hereditary Angioedema (HAE),result_news_found_but_not_press_release,yes,Intellia Therapeutics Doses First Patient in Phase 3 HAELO Study for NTLA-2002 and Updates on Clinical Trials and Financial Results,Nasdaq,https://www.nasdaq.com/articles/intellia-therapeutics-doses-first-patient-phase-3-haelo-study-ntla-2002-and-updates,"Thu, 27 Feb 2025 04:43:00 GMT",media
February,NCT06625411,VRDN-003,Investigational therapy being studied to treat Thyroid Eye Disease.,"Viridian Therapeutics, Inc.",2026-02-12,PHASE3,https://clinicaltrials.gov/study/NCT06625411,"An Efficacy, Safety, and Tolerability Study of VRDN-003 in Participants With Active Thyroid Eye Disease (TED)",result_news_found_but_not_press_release,yes,Viridian Therapeutics: Why Elegrobart Phase 3 Results Fail To Challenge Amgen,Seeking Alpha,https://seekingalpha.com/article/4889242-viridian-therapeutics-why-elegrobart-phase-3-results-fail-to-challenge-amgen,"Wed, 08 Apr 2026 09:32:00 GMT",media
February,NCT05016245,TheraSphere™ Yttrium-90 Glass Microspheres + conventional Transarterial Chemoembolization(cTACE),Combination regimen being studied to treat Inoperable Hepatocellular Carcinoma.,Boston Scientific Corporation,2026-02-13,PHASE3,https://clinicaltrials.gov/study/NCT05016245,MANDARIN (S6371),no_match_found,yes,,,,,
